origem_modelo,tecnica_prompt,conteudo_avaliar,verdict_GPT-OSS-120B,explanation_GPT-OSS-120B,keypoint_GPT-OSS-120B,verdict_Qwen-3-32B,explanation_Qwen-3-32B,keypoint_Qwen-3-32B,verdict_Kimi-K2,explanation_Kimi-K2,keypoint_Kimi-K2
SLM (TinyLlama),template-based,"Question: Which malware is most frequently used for phishing attacks?
Option: A
Explanation: Phishing scams often use malware to install malicious software on victims’ computers.
Correct Answer: A
Explanation: The EvilTwin malware is a software program that can replicate itself and infect multiple computers simultaneously.
Explanation: Many malicious websites use JavaScript to inject malicious code into a victim’s browser, making it difficult to detect.
Correct Answer: B
Explanation: The Mimikatz malware is a password stealing tool that can steal sensitive information from a computer without the user’s knowledge.
Explanation: Malware that targets mobile devices is on the rise, as many people use their phones for work and personal activities.
Correct Answer: C
Explanation: The Kaspersky malware is a powerful spyware that can record and intercept sensitive data from a victim’s computer.
",BAD,"The item lacks answer choices and does not specify which malware is being referenced, making it impossible to assess correctness. It also provides no substantive content",,NO_VERDICT,,,BAD,The stem lacks the actual options and the “Explanation” repeats the stem without clarifying why A is correct.,Missing options; vague explanation
SLM (TinyLlama),chain-of-thought,"Question: Why is recursion used in algorithms?
0) It's a shortcut
1) It applies to recursive functions
2) It provides a recursive approach
3) It's a programming error
4) It's a type of loop
Correct Answer: 1
Explanation: Recursive functions apply to recursive functions, so recursion is used to reduce the number of steps.",NO_VERDICT,,,NO_VERDICT,,,BAD,The stem is vague and the options are circular or nonsensical; option 1 merely restates “recursive” without explaining why recursion is useful.,"Vague stem, circular options"
SLM (TinyLlama),chain-of-thought,"Question: What happens if a node is removed from a Graph?
0) The Graph becomes empty
1) The number of edges increases
2) The Graph becomes unbalanced
3) The Graph becomes a tree
4) The Graph becomes acyclic
Correct Answer: 2
Explanation: Removing a node from a graph causes the number of edges to increase, making it unbalanced.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is not necessarily 2; removing a node can leave the graph balanced, and none of the options are universally true. The question lacks context and promotes a misconception.",Ambiguous options
SLM (TinyLlama),zero-shot,"Question: What is the main benefit of the European Union's General Data Protection Regulation (GDPR)?
0) It is a security risk
1) It is a technical requirement
2) It is only for small businesses
3) It only applies to public services
4) It is only for large companies
Correct Answer: 1
Explanation: The main benefit of GDPR is that it aims to increase transparency and control over the collection, storage, and use of personal data.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is mislabeled; GDPR’s main benefit is protecting personal data and privacy, not being a “technical requirement.” All distractors are negative or restrictive, and none align with the actual benefit.","Misaligned answer, poor distractors"
SLM (TinyLlama),template-based,"Question: [..]
Options: B-D
Correct: [..]
Explanation: [..]
Reason: Recursion is a type of algorithm where the same process is used to solve a problem recursively.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem is missing, options are incomplete, and the explanation is circular.","Missing stem, circular definition"
SLM (TinyLlama),zero-shot,"Question: Which information is required by law for a company to comply with LGPD?
0) User’s data
1) User’s consent
2) User’s gender
3) User’s age
4) User’s location
Correct Answer: 2
Explanation: LGPD requires companies to collect and store users’ data, including gender and age.",BAD,,,NO_VERDICT,,,BAD,"The correct answer is wrong; LGPD mandates consent (1), not gender. The question misrepresents legal requirements.",Wrong correct answer
SLM (TinyLlama),zero-shot,9th-grade MCQ about digital security. Use hexadecimal numbers.,NO_VERDICT,,,NO_VERDICT,,,BAD,"No question stem or answer choices are provided, so the item cannot assess anything.",Missing question body
SLM (TinyLlama),exemplar-guided,"Question: Online communication is like the “internet” in your home.
0) No stress
1) A simple tool
2) A life skill
3) A gaming mode
4) A marketing tool
Correct Answer: 2
Explanation: Digital divide refers to the difference in access to information based on socioeconomic status.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem is vague and metaphorical, mixing “online communication” with “internet in your home,” while the options are disjointed concepts, not a coherent set of choices.","Ambiguous stem, incoherent options"
SLM (TinyLlama),zero-shot,"Question: Why is it important to consider both the weight of edges and the order of nodes in a graph?
0) To reduce calculation time
1) To avoid duplicates
2) To improve performance
3) To simplify algorithms
4) To avoid cyclic graphs
Correct Answer: 2
Explanation: Weighted graphs consider both the weight of edges and the order of nodes, improving performance and reducing calculation time.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The question is vague; “weight” and “order” are undefined, and none of the options clearly link to standard graph concepts. The correct answer is unjustified.","Ambiguous terms, unclear options"
SLM (TinyLlama),template-based,"Question: Which issue is most commonly faced by low-income students in schools that use low-cost digital devices?
0) Lack of internet access
1) Small storage capacity
2) Poor software support
3) Inability to participate in online discussions
4) Limited access to educational resources
Correct Answer: 1
Explanation: Low-cost digital devices are often equipped with small storage capacity, which limits the users' ability to access and use online content.",NO_VERDICT,,,NO_VERDICT,,,BAD,The keyed answer “small storage capacity” is not the most common issue; lack of internet access (0) is far more critical for low-income students.,Wrong key prioritization
SLM (TinyLlama),zero-shot,"Question: What is a state machine in digital systems?
0) A program that executes instructions
1) A digital signal that changes state based on input
2) A user interface that responds to commands
3) A software program that updates variables
4) A database where records are stored
Correct Answer: 1
Explanation: State machines are digital systems that use switching or transitioning between different states to perform tasks.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct option describes a signal, not the formal concept of a state machine. The distractors are vague and none present the idea of states, transitions, or memory.",Misdefines state machine
SLM (TinyLlama),exemplar-guided,"Question: How does a weighted graph represent a complex problem?
0) It is a 2D graph
1) It is a game
2) It is a list of people
3) It is a matrix
4) It is a system
Correct Answer: 1
Explanation: Weighted graphs represent a complex problem by assigning weights to vertices.",BAD,,,NO_VERDICT,,,BAD,"The correct answer is mislabeled as option 1, contradicting the accepted representation of weighted graphs via adjacency matrices (option 3). This misleads students about fundamental graph data structures.",Wrong key; matrix correct
SLM (TinyLlama),few-shot,"Question: What is the primary purpose of a weighted graph?
0) To determine the shortest route
1) To support the implementation of a priority queue
2) To simulate the behavior of a network
3) To create a system for managing time
4) To model the behavior of a fluid system
Correct Answer: 2
Explanation: Weighted graphs are used to simulate the behavior of networks and can be used to model the behavior of a fluid system.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer should be 0 (shortest route), not 2. Weighted graphs are primarily used for shortest-path problems, not general network simulation.","Wrong key, misleading option"
SLM (TinyLlama),template-based,"Question: When a function returns a value, it usually does so using [..] as the base. Why is this common?
Options: A-C
Correct: [..]
Explanation: [..]
Examples: recursion is used in [..]",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem is garbled, options and explanation placeholders are missing, and the recursion example is irrelevant to the return concept.","Incomplete, garbled, off-topic"
SLM (TinyLlama),exemplar-guided,"Question: Which state machine is used to identify a computer's state?
0) Timer
1) Processor
2) User input
3) Process stack
4) Keyboard
Correct Answer: 2
Explanation: The state machine in a computer is used to control the actions of the CPU.",BAD,,,NO_VERDICT,,,BAD,"The question is vague and technically incorrect; user input is not a state machine, and none of the options properly describe a state machine used to identify a computer's state.","Misleading options, wrong concept"
SLM (TinyLlama),template-based,"Question: Why is malware often hidden in an innocent-looking program?
Option: [..]
Correct: [..]
Explanation: It may be difficult to spot without suspicion.
Explanation: It may be difficult to spot without suspicion.",NO_VERDICT,,,NO_VERDICT,,,BAD,The stem is duplicated and the “Explanation” repeats the obvious without clarifying social-engineering tactics.,Repetitive vague stem
SLM (TinyLlama),template-based,"Question: Why is recursive programming useful?
0) To solve simple problems
1) To avoid loops
2) To optimize algorithms
3) To store data
4) To simulate games
Correct Answer: 2
Explanation: Recursive algorithms are used to solve complex problems by breaking them down into smaller subproblems.",NO_VERDICT,,,NO_VERDICT,,,BAD,Recursion is not inherently an optimization technique; it can even be less efficient. The correct answer misrepresents the concept.,Misleading efficiency claim
SLM (TinyLlama),chain-of-thought,"Question: What is a key advantage of Asymmetric Encryption?
0) It can be solved with a single password
1) It is harder to crack than symmetric encryption
2) It supports multiple login methods
3) It is less secure than public key systems
4) It can be used to encrypt data even if the key is known
Correct Answer: 2
Explanation: Asymmetric encryption uses two keys, one for decryption and the other for encryption, which makes it more difficult to crack.",BAD,The listed,,NO_VERDICT,,,BAD,,Wrong answer; concept mismatch
SLM (TinyLlama),exemplar-guided,"Question: Why is it important to reduce digital divide?
0) It reduces creativity
1) It increases the cost of services
2) It reduces access to education
3) It improves privacy
4) It reduces entertainment
Correct Answer: 2
Explanation: Digital divide creates inequality in access to education and services.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem asks for a positive reason, but the keyed option states a negative consequence, creating confusion.",Misaligned stem-option logic
SLM (TinyLlama),chain-of-thought,"Question: What is the purpose of the ‘right to be forgotten’ in LGPD?
0) To delete data
1) To give access to it
2) To be anonymous
3) To hide content
4) To hide data
Correct Answer: 1
Explanation: The ‘right to be forgotten’ allows individuals to request that data be removed from public platforms.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is mislabeled; the right to be forgotten is about deleting personal data, not giving access. The options are vague and the key is mismatched.",Wrong key; vague options
SLM (TinyLlama),zero-shot,"Question: What is the role of AI in online safety?
0) It improves safety
1) It creates dangers
2) It only protects vulnerable users
3) It avoids scams
4) It improves accuracy
Correct Answer: 1
Explanation: AI can be used to detect, prevent, and mitigate scams.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is misaligned with the question; AI is widely used to enhance online safety, not primarily to create dangers. The options are vague and the key is incorrect.","Wrong key, vague options"
SLM (TinyLlama),chain-of-thought,"Question: Why use asymmetric encryption?
0) To share files
1) To use with one device only
2) To store passwords
3) To hide from the government
4) To share internet speed
Correct Answer: 2
Explanation: It protects data from viewing by only one device or using a single key.",BAD,"The correct purpose of asymmetric encryption is secure key exchange and digital signatures,",,NO_VERDICT,,,BAD,"The correct answer is wrong; asymmetric encryption is for secure key exchange, not password storage. The distractors are vague and the question misleads on core concept.",Wrong answer key
SLM (TinyLlama),zero-shot,"Question: Which malware technique increases attack speed?
0) Using slow CPU
1) Adding fake scans
2) Using slow files
3) Avoiding detection
4) Slowly downloading programs
Correct Answer: 2
Explanation: Malware that uses slow scanning helps increase attack speed.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The options are nonsensical; “using slow files” does not accelerate malware, and the correct answer is factually wrong.",Conceptually flawed options
SLM (TinyLlama),exemplar-guided,"Question: What is a key property of weighted graphs?
0) No edges
1) No vertices with negative weights
2) Fixed minimum number of vertices
3) Fixed maximum number of edges
4) No cycles
Correct Answer: 2
Explanation: Weighted graphs can be created with fixed minimum and maximum number of vertices/edges.",NO_VERDICT,,,NO_VERDICT,,,BAD,The correct answer listed (2) is factually wrong; weighted graphs have no fixed minimum vertex count. The question also ignores the core idea that edges carry numeric weights.,Wrong key concept
SLM (TinyLlama),template-based,"Question: Which digital skills are essential for better access to education?
0) [..]
1) [..]
2) [..]
3) [..]
4) [..]
Correct Answer: [..]
Explanation: Digital skills such as reading, writing, and online communication are essential for equal access to education.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem is vague and the options are missing, so the item cannot be evaluated for content validity or discrimination.",Incomplete item stem
SLM (TinyLlama),chain-of-thought,"Question: What can happen if a school has a low-quality internet connection?
0) All classes will be online
1) Students will be unable to attend classes
2) Teachers will have to use old methods
3) Students will have to wait for lessons
4) The school will be able to provide all classes
Correct Answer: 2
Explanation: Teachers use old methods when the school does not have a high-quality internet connection.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is debatable; low bandwidth doesn’t force teachers to revert to “old methods,” and option 2 is not clearly the only consequence.",Ambiguous answer choices
SLM (TinyLlama),exemplar-guided,"Question: What is the biggest challenge of digital divide?
0) No internet
1) Lack of access to devices
2) Lack of understanding of digital skills
3) Lack of online protection
4) Lack of social media
Correct Answer: 2
Explanation: Digital divide is the gap in internet access between high-income and low-income communities.",NO_VERDICT,,,NO_VERDICT,,,BAD,The stem is vague and the options overlap; “biggest challenge” is subjective and not aligned with BNCC’s emphasis on access and inclusion.,"Vague stem, overlapping options"
SLM (TinyLlama),zero-shot,"Question: Which personal data should you consider hiding in the personal data section of your privacy policy?
0) Home address
1) Marriage status
2) Family size
3) Favorite color
4) Medical history
Correct Answer: 2
Explanation: Marriage status is personal data and should be hidden in the personal data section.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is wrongly keyed; all listed items except “favorite color” are sensitive personal data that should be protected. The question also confuses “hiding” with “protecting,” undermining clarity.","Wrong key, vague wording"
SLM (TinyLlama),exemplar-guided,"Question: What is the main goal of creating AI with human-like values?
0) To deceive the public
1) To protect personal data
2) To improve mental health
3) To improve businesses
4) To enhance creativity
Correct Answer: 2
Explanation: AI with human-like values is designed to improve people's lives, including mental health.",NO_VERDICT,,,NO_VERDICT,,,BAD,The question is vague and anthropomorphic; none of the options uniquely capture the ethical alignment goal in AI. The “correct” answer is debatable and not grounded in clear 9th-grade BNCC concepts.,"Vague, debatable, off-curriculum"
SLM (TinyLlama),exemplar-guided,"Question: Which scenario involves the transfer of data from a server to a client?
0) Transfer of data from a client to a server
1) Transfer of data from a server to a client
2) Transfer of data from a client to a server
3) Transfer of data from a server to a client
4) Transfer of data from a client to a server
Correct Answer: 2
Explanation: Packet switching is used to transfer data between a server and a client, while data transfer is used to transfer data between a server and a client or between two clients.",NO_VERDICT,,,NO_VERDICT,,,BAD,Options are repetitive and poorly phrased; correct answer listed as “2” contradicts the actual right choice.,Repetitive options; wrong key.
SLM (TinyLlama),zero-shot,"9th-grade MCQ about Packet Switching, with 2 questions and correct option B.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The prompt is incomplete; it lacks the actual questions and answer choices, so it cannot be evaluated for alignment, clarity, or correctness.",Missing content
SLM (TinyLlama),few-shot,"Question: What is a state in a computer program?
0) A command
1) A variable
2) A block of code
3) A color
4) An array
Correct Answer: 1
Explanation: States in a computer program are used to manage and control the behavior of the program.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The term ""state"" is broader than just a variable; it encompasses all stored data at a given moment, so the single correct option is conceptually narrow.",Oversimplifies state concept
SLM (TinyLlama),template-based,"Question: [..]
Options: A-E
Correct: [..]
Explanation: [..] is a digital divide that affects schools and low-income households.",NO_VERDICT,,,NO_VERDICT,,,BAD,The stem is incomplete and the explanation leaks the answer.,Incomplete stem; answer revealed
SLM (TinyLlama),few-shot,"{""stem"": ""What is a node in a graph?"", ""options"": [""What is a vertex in a graph?"", ""What is a path in a graph?"", ""What is a cycle in a graph?"", ""What is a weight in a graph?"", ""What is a number in a program?""], ""correctOption"": ""Option 2"", ""explanation"": ""A vertex is a point in a graph, while a node is a unique place in the graph with a unique attribute (e.g., label or value).""}",BAD,"The answer choices are unrelated questions rather than definitions, and the",,NO_VERDICT,,,BAD,"The stem and options are mismatched; the correct option refers to “vertex,” not “node,” and the explanation contradicts itself.",Mismatched stem-options
SLM (TinyLlama),zero-shot,"Question: Which key is used for decryption?
0) Public key
1) Private key
2) Shared key
3) Master password
4) One-time password
Correct Answer: 2
Explanation: One-time passwords (OTPs) are used for decryption.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is wrong; decryption uses the private key, not the shared key. The question also conflates asymmetric and symmetric cryptography.",Wrong key; confusing concepts
SLM (TinyLlama),chain-of-thought,"Question: What is the primary purpose of a malware file called Scamware?
0) To spread false news
1) To steal passwords
2) To update software
3) To encrypt files
4) To perform system checks
Correct Answer: 2
Explanation: Scamware is used to mislead users into downloading and installing malware files.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The term “Scamware” is non-standard and ambiguous; the distractors overlap with other malware types, confusing students.",Vague term; unclear distractors
SLM (TinyLlama),exemplar-guided,"Question: Why is LGPD required for privacy?
0) It increases data
1) It affects all data
2) It only affects big companies
3) It is optional
4) It only applies to apps
Correct Answer: 1
Explanation: LGPD requires clear and transparent disclosures about data processing and access.",NO_VERDICT,,,NO_VERDICT,,,BAD,The stem is vague and the options are ambiguous; “affects all data” is not a clear reason why LGPD is required for privacy.,"Vague stem, unclear options"
SLM (TinyLlama),few-shot,"Question: Why is weighted graphs important in computer science?
0) They simplify calculations
1) They help with visualization
2) They provide a way to connect devices
3) They improve battery life
4) They improve memory management
Correct Answer: 2
Explanation: Weighted graphs allow the creation of a computer's network structure and the connection of devices.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is factually wrong; weighted graphs model costs/distances, not device connection. The question also misuses “graphs” as “networks,” confusing concepts.","Wrong concept, misleading answer"
SLM (TinyLlama),exemplar-guided,"Question: Which machine is responsible for processing user requests?
0) A single CPU
1) A group of CPUs
2) A group of processors
3) A single memory bank
4) A single bus
Correct Answer: 2
Explanation: Processors in a Single-Chip Computer (SMC) are responsible for processing requests.",NO_VERDICT,,,NO_VERDICT,,,BAD,The term “group of processors” is vague; it conflates concepts and doesn’t clearly map to a specific machine or architecture.,Ambiguous terminology; unclear mapping
SLM (TinyLlama),few-shot,"Question: How does malware spread in an infected system?
0) By copying itself
1) By using a software update
2) By sharing files
3) By releasing ransomware
4) By installing adware
Correct Answer: 2
Explanation: Malware spreads by using software updates, temporary files, or by sharing files.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is wrong; malware primarily spreads by copying itself (0). Option 2 describes a transmission vector, not the infection mechanism.",Wrong key; concept muddled
SLM (TinyLlama),chain-of-thought,"Question: Why are digital skills important for online safety?
0) They are fun
1) They help with school work
2) They increase creativity
3) They reduce stress
4) They improve empathy
Correct Answer: 1
Explanation: Digital skills help with online safety, like identifying fake accounts or avoiding scams.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is weakly linked to online safety; none of the options directly address protection, privacy, or risk prevention.",Safety link missing
SLM (TinyLlama),few-shot,"Question: What should a website do to protect personal data in the EU?
0) Add a checkbox
1) Display a link to a legal agreement
2) Use two-factor authentication
3) Block all personal data
4) Share sensitive info with the government
Correct Answer: 2
Explanation: Two-factor authentication is a safety measure that requires more than just a password to access data.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer should be 1 (GDPR privacy policy), not 2. Two-factor authentication protects accounts, not the site’s handling of personal data.",Wrong correct answer
SLM (TinyLlama),template-based,"Question: [..]
Options: A-C
Correct: [..]
Explanation: [..]",BAD,"The item lacks any actual question, options, correct answer, or explanation, making it impossible to assess its educational quality. Without content, it cannot meet BNCC standards.",No content provided.,NO_VERDICT,,,BAD,"The stem is missing, so the question cannot be evaluated for alignment, clarity, or grade-level adequacy.",Missing question stem
SLM (TinyLlama),few-shot,"Question: Which of the following is NOT a valid edge in a weighted graph?
0) A->B
B->A
C->D
A->C
B->D
Correct Answer: A
Explanation: An edge between a source node and a target node with a weight must exist in a weighted graph.",NO_VERDICT,,,NO_VERDICT,,,BAD,,"Ambiguous stem, missing weights"
SLM (TinyLlama),zero-shot,"Question: Why is weighted graphs useful for graph analysis?
0) They are slow
1) They allow for more complex graphs
2) They are easy to visualize
3) They are easy to interpret
4) They are only useful for binary trees
Correct Answer: 2
Explanation: Weighted graphs can be used to model complex graphs and are often used for graph visualization.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The stem is vague and the keyed answer (2) is incorrect; weighted graphs are useful because edge weights carry meaningful data (cost, distance, time), not because they are “easy to visualize.”","Wrong key, vague stem"
SLM (TinyLlama),chain-of-thought,"Question: What is the base case of a recursive function?
0) 0
1) any integer
2) the input itself
3) another recursive function
4) the number of iterations
Correct Answer: 2
Explanation: The base case is the recursion itself.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The base case is the condition that stops recursion, not “the input itself.” Correct option should describe a stopping condition, causing conceptual error.",Wrong concept; misleading options
SLM (TinyLlama),zero-shot,"Question: How do weighted graphs help solve network problems?
0) They don't exist
1) They improve pathfinding
2) They simplify calculations
3) They speed up algorithms
4) They limit connections
Correct Answer: 2
Explanation: Weighted graphs use a weighted matching algorithm to find the shortest path between two nodes.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer should be 1, as weights are used to find optimal paths, not to simplify calculations.","Wrong key, misleading concept"
SLM (TinyLlama),exemplar-guided,"Question: Why is packet switching crucial in networks?
0) To send videos
1) To manage data
2) To avoid errors
3) To store information
4) To send stock quotes
Correct Answer: 1
Explanation: Packet switching helps to manage large volumes of data.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The correct answer is vague; “manage data” does not clarify packet switching’s core role of fragmenting, routing, and reassembling data for efficient, resilient transmission.",Vague answer; lacks precision
SLM (TinyLlama),few-shot,"Exercise: 4th-grade MCQ.
Question: Which symbol is used to prevent message tampering?
0) *
1) &
2) #
3) =
4) @
Correct Answer: 2
Explanation: Hashing is a way to prevent message tampering.",NO_VERDICT,,,NO_VERDICT,,,BAD,The question is vague; “#” is not a standard symbol for preventing tampering. It confuses students about real cryptographic concepts.,"Vague, misleading, no context"
SLM (TinyLlama),exemplar-guided,"Question: What is the primary responsibility of AI systems in a democratic society?
0) To give advice to citizens
1) To follow the law
2) To learn from humans
3) To perform human jobs
4) To fix bugs
Correct Answer: 2
Explanation: AI systems are trained to learn and make decisions based on data, rather than humans.",NO_VERDICT,,,NO_VERDICT,,,BAD,"The keyed answer “2) To learn from humans” is not the primary civic responsibility; the question expects ethical/legal alignment, making the key wrong and the distractors weak.",Wrong key; vague options
SLM (TinyLlama),exemplar-guided,"Question: How do AI systems learn?
0) With a boss
1) By playing games
2) By writing code
3) By learning words
4) By watching TV
Correct Answer: 2
Explanation: AI systems must learn by trial and error to improve accuracy and efficiency.",BAD,The correct answer is not,,NO_VERDICT,,,BAD,"The correct answer is wrong; AI learns from data, not by “writing code.” The distractors are vague and the question oversimplifies machine learning.","Wrong key, oversimplified."
SLM (TinyLlama),exemplar-guided,"Question: What is a common behavior of fake news?
0) To be real
1) To avoid scams
2) To share without checking
3) To be banned
4) To be deleted
Correct Answer: 2
Explanation: Fake news is often shared without checking to see if it is real.",NO_VERDICT,,,NO_VERDICT,,,GOOD,"The item directly addresses BNCC’s digital citizenship goal by highlighting the typical unchecked sharing of fake news. The distractors are plausible yet clearly inferior, keeping the question concise and grade-appropriate.",Unchecked sharing behavior
SLM (TinyLlama),template-based,"Question: How does the distribution of malware change over time?
Option: A
Correct Answer: A
Explanation: As malware evolves and becomes more sophisticated, it spreads more quickly and to a wider variety of devices.
Explanation: As malware evolves and becomes more sophisticated, it spreads more quickly and to a wider variety of devices.
Explanation: As malware evolves and becomes more sophisticated, it spreads more quickly and to a wider variety of devices.
Correct Answer: A
Explanation: As malware evolves and becomes more sophisticated, it spreads more quickly and to a wider variety of devices.
Explanation: As malware evolves and becomes more sophisticated, it spreads more quickly and to a wider variety of devices.
Explanation: As malware evolves and becomes more sophisticated, it spreads more quickly and to a wider variety of devices.
Correct Answer: A
Explanation: As malware evolves and becomes more sophisticated, it spreads more quickly and to a wider variety of devices.",BAD,"The item provides no answer choices or substantive explanation, making it impossible to assess the correctness of option A. It fails to meet basic MCQ standards.","No options, no explanation.",NO_VERDICT,,,BAD,"The stem is incomplete, the option list is missing, and the provided “Option: A” gives no information.",Incomplete stem; no options
